,,,-1.6920002E-3,0.0,,,,,-1.6920002E-3,79.999998212E-3,
,,,-1.6900002E-3,0.0,,,,,-1.6900002E-3,79.999998212E-3,
,,,-1.6880002E-3,0.0,,,,,-1.6880002E-3,0.0,
,,,-1.6860001E-3,0.0,,,,,-1.6860001E-3,79.999998212E-3,
,,,-1.6840001E-3,0.0,,,,,-1.6840001E-3,79.999998212E-3,
,,,-1.6820001E-3,0.0,,,,,-1.6820001E-3,0.0,
,,,-1.6800001E-3,0.0,,,,,-1.6800001E-3,79.999998212E-3,
,,,-1.6780002E-3,79.999998212E-3,,,,,-1.6780002E-3,0.0,
,,,-1.6760002E-3,0.0,,,,,-1.6760002E-3,79.999998212E-3,
,,,-1.6740002E-3,79.999998212E-3,,,,,-1.6740002E-3,79.999998212E-3,
,,,-1.6720002E-3,0.0,,,,,-1.6720002E-3,79.999998212E-3,
,,,-1.6700001E-3,0.0,,,,,-1.6700001E-3,0.0,
,,,-1.6680001E-3,0.0,,,,,-1.6680001E-3,0.0,
,,,-1.6660001E-3,0.0,,,,,-1.6660001E-3,0.0,
,,,-1.6640002E-3,0.0,,,,,-1.6640002E-3,79.999998212E-3,
,,,-1.6620002E-3,0.0,,,,,-1.6620002E-3,0.0,
,,,-1.6600002E-3,0.0,,,,,-1.6600002E-3,79.999998212E-3,
,,,-1.6580002E-3,0.0,,,,,-1.6580002E-3,79.999998212E-3,
,,,-1.6560002E-3,0.0,,,,,-1.6560002E-3,79.999998212E-3,
,,,-1.6540001E-3,0.0,,,,,-1.6540001E-3,79.999998212E-3,
,,,-1.6520001E-3,0.0,,,,,-1.6520001E-3,0.0,
,,,-1.6500001E-3,0.0,,,,,-1.6500001E-3,0.0,
,,,-1.6480002E-3,0.0,,,,,-1.6480002E-3,79.999998212E-3,
,,,-1.6460002E-3,0.0,,,,,-1.6460002E-3,79.999998212E-3,
,,,-1.6440002E-3,0.0,,,,,-1.6440002E-3,79.999998212E-3,
,,,-1.6420002E-3,0.0,,,,,-1.6420002E-3,0.0,
,,,-1.6400001E-3,79.999998212E-3,,,,,-1.6400001E-3,79.999998212E-3,
,,,-1.6380001E-3,0.0,,,,,-1.6380001E-3,79.999998212E-3,
,,,-1.6360001E-3,0.0,,,,,-1.6360001E-3,0.0,
,,,-1.6340001E-3,0.0,,,,,-1.6340001E-3,79.999998212E-3,
,,,-1.6320002E-3,79.999998212E-3,,,,,-1.6320002E-3,79.999998212E-3,
,,,-1.6300002E-3,0.0,,,,,-1.6300002E-3,0.0,
,,,-1.6280002E-3,0.0,,,,,-1.6280002E-3,79.999998212E-3,
,,,-1.6260002E-3,0.0,,,,,-1.6260002E-3,79.999998212E-3,
,,,-1.6240001E-3,79.999998212E-3,,,,,-1.6240001E-3,79.999998212E-3,
,,,-1.6220001E-3,79.999998212E-3,,,,,-1.6220001E-3,79.999998212E-3,
,,,-1.6200001E-3,0.0,,,,,-1.6200001E-3,0.0,
,,,-1.6180002E-3,79.999998212E-3,,,,,-1.6180002E-3,79.999998212E-3,
,,,-1.6160002E-3,79.999998212E-3,,,,,-1.6160002E-3,79.999998212E-3,
,,,-1.6140002E-3,79.999998212E-3,,,,,-1.6140002E-3,79.999998212E-3,
,,,-1.6120002E-3,0.0,,,,,-1.6120002E-3,0.0,
,,,-1.6100002E-3,0.0,,,,,-1.6100002E-3,79.999998212E-3,
,,,-1.6080001E-3,0.0,,,,,-1.6080001E-3,79.999998212E-3,
,,,-1.6060001E-3,0.0,,,,,-1.6060001E-3,79.999998212E-3,
,,,-1.6040001E-3,0.0,,,,,-1.6040001E-3,79.999998212E-3,
,,,-1.6020002E-3,0.0,,,,,-1.6020002E-3,79.999998212E-3,
,,,-1.6000002E-3,0.0,,,,,-1.6000002E-3,79.999998212E-3,
,,,-1.5980002E-3,79.999998212E-3,,,,,-1.5980002E-3,79.999998212E-3,
,,,-1.5960002E-3,79.999998212E-3,,,,,-1.5960002E-3,0.0,
,,,-1.5940001E-3,0.0,,,,,-1.5940001E-3,79.999998212E-3,
,,,-1.5920001E-3,0.0,,,,,-1.5920001E-3,79.999998212E-3,
,,,-1.5900001E-3,0.0,,,,,-1.5900001E-3,0.0,
,,,-1.5880002E-3,79.999998212E-3,,,,,-1.5880002E-3,0.0,
,,,-1.5860002E-3,0.0,,,,,-1.5860002E-3,79.999998212E-3,
,,,-1.5840002E-3,79.999998212E-3,,,,,-1.5840002E-3,0.0,
,,,-1.5820002E-3,79.999998212E-3,,,,,-1.5820002E-3,79.999998212E-3,
,,,-1.5800002E-3,0.0,,,,,-1.5800002E-3,79.999998212E-3,
,,,-1.5780001E-3,0.0,,,,,-1.5780001E-3,79.999998212E-3,
,,,-1.5760001E-3,0.0,,,,,-1.5760001E-3,79.999998212E-3,
,,,-1.5740001E-3,0.0,,,,,-1.5740001E-3,79.999998212E-3,
,,,-1.5720002E-3,79.999998212E-3,,,,,-1.5720002E-3,79.999998212E-3,
,,,-1.5700002E-3,0.0,,,,,-1.5700002E-3,79.999998212E-3,
,,,-1.5680002E-3,0.0,,,,,-1.5680002E-3,79.999998212E-3,
,,,-1.5660002E-3,0.0,,,,,-1.5660002E-3,79.999998212E-3,
,,,-1.5640002E-3,79.999998212E-3,,,,,-1.5640002E-3,79.999998212E-3,
,,,-1.5620001E-3,0.0,,,,,-1.5620001E-3,0.0,
,,,-1.5600001E-3,79.999998212E-3,,,,,-1.5600001E-3,0.0,
,,,-1.5580001E-3,0.0,,,,,-1.5580001E-3,0.0,
,,,-1.5560002E-3,0.0,,,,,-1.5560002E-3,79.999998212E-3,
,,,-1.5540002E-3,0.0,,,,,-1.5540002E-3,0.0,
,,,-1.5520002E-3,0.0,,,,,-1.5520002E-3,0.0,
,,,-1.5500002E-3,0.0,,,,,-1.5500002E-3,79.999998212E-3,
,,,-1.5480001E-3,0.0,,,,,-1.5480001E-3,0.0,
,,,-1.5460001E-3,79.999998212E-3,,,,,-1.5460001E-3,0.0,
,,,-1.5440001E-3,0.0,,,,,-1.5440001E-3,79.999998212E-3,
